40018
45	(-0.0175915,-0.528159,-0.329315) (-0.025754,-0.515397,-0.337057) (-0.0107815,-0.520348,-0.343642)
46	(-0.00741899,-0.529296,-0.335606) (-0.0175915,-0.528159,-0.329315) (-0.0107815,-0.520348,-0.343642)
47	(0.0328091,-0.538194,-0.342653) (0.0463222,-0.548005,-0.330368) (0.0242534,-0.544499,-0.330037)
48	(0.0328091,-0.538194,-0.342653) (0.0242534,-0.544499,-0.330037) (0.0227115,-0.537591,-0.340023)
49	(0.0242534,-0.544499,-0.330037) (0.00475723,-0.537882,-0.330862) (0.0227115,-0.537591,-0.340023)
50	(0.056381,-0.543939,-0.338255) (0.0463222,-0.548005,-0.330368) (0.0430321,-0.542716,-0.338262)
51	(-0.025754,-0.515397,-0.337057) (-0.0478444,-0.50345,-0.32561) (-0.0276527,-0.508274,-0.341163)
52	(-0.0461663,-0.495352,-0.332917) (-0.0276527,-0.508274,-0.341163) (-0.0478444,-0.50345,-0.32561)
53	(0.0644338,-0.554343,-0.324952) (0.056381,-0.543939,-0.338255) (0.0720441,-0.54523,-0.337967)
54	(0.056381,-0.543939,-0.338255) (0.0644338,-0.554343,-0.324952) (0.0463222,-0.548005,-0.330368)
55	(-0.0175915,-0.528159,-0.329315) (-0.038268,-0.515716,-0.322698) (-0.025754,-0.515397,-0.337057)
56	(-0.025754,-0.515397,-0.337057) (-0.038268,-0.515716,-0.322698) (-0.0478444,-0.50345,-0.32561)
57	(-0.00741899,-0.529296,-0.335606) (0.00475723,-0.537882,-0.330862) (-0.00714928,-0.53788,-0.322855)
58	(-0.00741899,-0.529296,-0.335606) (-0.00714928,-0.53788,-0.322855) (-0.0175915,-0.528159,-0.329315)
59	(0.00124258,-0.541452,-0.322496) (-0.00714928,-0.53788,-0.322855) (0.00475723,-0.537882,-0.330862)
60	(0.0463222,-0.548005,-0.330368) (0.0337635,-0.550177,-0.322527) (0.0242534,-0.544499,-0.330037)
61	(0.0463222,-0.548005,-0.330368) (0.0522355,-0.553479,-0.322496) (0.0337635,-0.550177,-0.322527)
62	(0.0522355,-0.553479,-0.322496) (0.0463222,-0.548005,-0.330368) (0.0644338,-0.554343,-0.324952)
63	(0.0112985,-0.546094,-0.320439) (0.00124258,-0.541452,-0.322496) (0.00475723,-0.537882,-0.330862)
64	(0.0112985,-0.546094,-0.320439) (0.00475723,-0.537882,-0.330862) (0.0242534,-0.544499,-0.330037)
65	(0.0337635,-0.550177,-0.322527) (0.0112985,-0.546094,-0.320439) (0.0242534,-0.544499,-0.330037)
66	(-0.0461663,-0.495352,-0.332917) (-0.0478444,-0.50345,-0.32561) (-0.0640664,-0.495638,-0.314276)
67	(-0.0175915,-0.528159,-0.329315) (-0.00714928,-0.53788,-0.322855) (-0.0150477,-0.537725,-0.315229)
68	(-0.0175915,-0.528159,-0.329315) (-0.0342035,-0.527697,-0.309667) (-0.038268,-0.515716,-0.322698)
69	(-0.0150477,-0.537725,-0.315229) (-0.0342035,-0.527697,-0.309667) (-0.0175915,-0.528159,-0.329315)
70	(0.0327502,-0.553479,-0.314213) (0.0337635,-0.550177,-0.322527) (0.0522355,-0.553479,-0.322496)
71	(-0.00446719,-0.543669,-0.313663) (-0.0150477,-0.537725,-0.315229) (-0.00714928,-0.53788,-0.322855)
72	(0.00124258,-0.541452,-0.322496) (-0.00446719,-0.543669,-0.313663) (-0.00714928,-0.53788,-0.322855)
73	(-0.00446719,-0.543669,-0.313663) (0.00124258,-0.541452,-0.322496) (0.0112985,-0.546094,-0.320439)
74	(-0.0478444,-0.50345,-0.32561) (-0.038268,-0.515716,-0.322698) (-0.0522496,-0.513703,-0.310158)
75	(0.0337635,-0.550177,-0.322527) (0.0139354,-0.550474,-0.311517) (0.0112985,-0.546094,-0.320439)
76	(0.0337635,-0.550177,-0.322527) (0.0327502,-0.553479,-0.314213) (0.0139354,-0.550474,-0.311517)
77	(-0.038268,-0.515716,-0.322698) (-0.0342035,-0.527697,-0.309667) (-0.0455244,-0.521053,-0.307468)
78	(-0.0455244,-0.521053,-0.307468) (-0.0522496,-0.513703,-0.310158) (-0.038268,-0.515716,-0.322698)
79	(0.0522355,-0.553479,-0.322496) (0.0327502,-0.556163,-0.306742) (0.0327502,-0.553479,-0.314213)
80	(-0.0640664,-0.495638,-0.314276) (-0.0478444,-0.50345,-0.32561) (-0.0674795,-0.504436,-0.302864)
81	(-0.0522496,-0.513703,-0.310158) (-0.0674795,-0.504436,-0.302864) (-0.0478444,-0.50345,-0.32561)
82	(0.0112985,-0.546094,-0.320439) (0.00124258,-0.548611,-0.306742) (-0.00446719,-0.543669,-0.313663)
83	(0.0139354,-0.550474,-0.311517) (0.00124258,-0.548611,-0.306742) (0.0112985,-0.546094,-0.320439)
84	(-0.00446719,-0.543669,-0.313663) (-0.0145111,-0.541961,-0.306742) (-0.0150477,-0.537725,-0.315229)
85	(0.0198997,-0.553479,-0.306742) (0.0139354,-0.550474,-0.311517) (0.0327502,-0.553479,-0.314213)
86	(0.0327502,-0.556163,-0.306742) (0.0198997,-0.553479,-0.306742) (0.0327502,-0.553479,-0.314213)
87	(0.00124258,-0.548611,-0.306742) (-0.00663423,-0.545684,-0.306742) (-0.00446719,-0.543669,-0.313663)
88	(-0.00663423,-0.545684,-0.306742) (-0.0145111,-0.541961,-0.306742) (-0.00446719,-0.543669,-0.313663)
